"filename", "language", "CSS", "Markdown", "JSON", "JavaScript", "wxml", "TypeScript", "XML", "comment", "blank", "total"
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\field\definitions\weapp.d.ts", "TypeScript", 0, 0, 0, 0, 0, 59, 0, 52, 1, 112
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\field\definitions\weapp.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\field\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\field\index.js", "JavaScript", 0, 0, 0, 105, 0, 0, 0, 0, 1, 106
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\field\index.json", "JSON", 0, 0, 7, 0, 0, 0, 0, 0, 0, 7
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\field\index.wxml", "wxml", 0, 0, 0, 0, 88, 0, 0, 0, 2, 90
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\field\index.wxss", "CSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\goods-action-button\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\goods-action-button\index.js", "JavaScript", 0, 0, 0, 22, 0, 0, 0, 0, 1, 23
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\goods-action-button\index.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\goods-action-button\index.wxml", "wxml", 0, 0, 0, 0, 27, 0, 0, 0, 1, 28
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\goods-action-button\index.wxss", "CSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\goods-action-icon\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\goods-action-icon\index.js", "JavaScript", 0, 0, 0, 21, 0, 0, 0, 0, 1, 22
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\goods-action-icon\index.json", "JSON", 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\goods-action-icon\index.wxml", "wxml", 0, 0, 0, 0, 35, 0, 0, 0, 1, 36
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\goods-action-icon\index.wxss", "CSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\goods-action\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\goods-action\index.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\goods-action\index.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\goods-action\index.wxml", "wxml", 0, 0, 0, 0, 4, 0, 0, 0, 2, 6
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\goods-action\index.wxss", "CSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\icon\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\icon\index.js", "JavaScript", 0, 0, 0, 19, 0, 0, 0, 0, 1, 20
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\icon\index.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\icon\index.wxml", "wxml", 0, 0, 0, 0, 18, 0, 0, 0, 2, 20
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\icon\index.wxss", "CSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\info\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\info\index.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\info\index.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\info\index.wxml", "wxml", 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\info\index.wxss", "CSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\loading\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\loading\index.js", "JavaScript", 0, 0, 0, 17, 0, 0, 0, 0, 1, 18
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\loading\index.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\loading\index.wxml", "wxml", 0, 0, 0, 0, 16, 0, 0, 0, 1, 17
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\loading\index.wxss", "CSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\mixins\basic.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\mixins\basic.js", "JavaScript", 0, 0, 0, 22, 0, 0, 0, 0, 1, 23
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\mixins\button.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\mixins\button.js", "JavaScript", 0, 0, 0, 18, 0, 0, 0, 0, 1, 19
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\mixins\link.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\mixins\link.js", "JavaScript", 0, 0, 0, 17, 0, 0, 0, 0, 1, 18
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\mixins\observer\behavior.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\mixins\observer\behavior.js", "JavaScript", 0, 0, 0, 46, 0, 0, 0, 1, 1, 48
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\mixins\observer\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\mixins\observer\index.js", "JavaScript", 0, 0, 0, 27, 0, 0, 0, 0, 1, 28
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\mixins\observer\props.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\mixins\observer\props.js", "JavaScript", 0, 0, 0, 22, 0, 0, 0, 0, 1, 23
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\mixins\open-type.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\mixins\open-type.js", "JavaScript", 0, 0, 0, 25, 0, 0, 0, 0, 1, 26
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\mixins\safe-area.d.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\mixins\safe-area.js", "JavaScript", 0, 0, 0, 39, 0, 0, 0, 0, 1, 40
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\mixins\touch.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\mixins\touch.js", "JavaScript", 0, 0, 0, 27, 0, 0, 0, 0, 1, 28
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\mixins\transition.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\mixins\transition.js", "JavaScript", 0, 0, 0, 109, 0, 0, 0, 2, 1, 112
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\nav-bar\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\nav-bar\index.js", "JavaScript", 0, 0, 0, 29, 0, 0, 0, 0, 1, 30
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\nav-bar\index.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\nav-bar\index.wxml", "wxml", 0, 0, 0, 0, 36, 0, 0, 0, 2, 38
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\nav-bar\index.wxss", "CSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
